Token;Repeticiones;# de archivos con ese token
0;88711;96
1;5882;280
2;3937;179
3;2773;158
4;2672;156
5;2481;163
6;1940;135
7;1697;132
8;1738;130
9;1712;113
10;2015;193
11;1829;119
12;1670;228
13;1654;106
14;1609;106
15;1603;170
16;1343;113
17;1149;126
18;922;113
19;895;93
20;1113;196
21;880;190
22;811;101
23;854;89
24;695;98
25;971;192
26;894;124
27;613;83
28;594;84
29;611;81
30;1020;194
31;607;77
32;479;73
33;515;68
34;415;48
35;875;163
36;397;64
37;370;48
38;408;61
39;398;52
40;677;180
41;340;56
42;318;45
43;335;59
44;991;154
45;644;142
46;312;49
47;315;42
48;289;55
49;247;45
50;1215;219
51;263;48
52;268;50
53;1033;142
54;248;47
55;665;137
56;290;61
57;243;51
58;263;53
59;202;42
60;903;181
61;239;47
62;1296;148
63;251;54
64;227;48
65;1392;164
66;151;38
67;276;51
68;227;50
69;166;38
70;1093;177
71;807;142
72;206;45
73;207;48
74;201;46
75;1006;159
76;206;51
77;153;46
78;197;38
79;198;47
80;934;164
81;192;41
82;228;47
83;239;47
84;165;41
85;298;97
86;279;44
87;191;36
88;210;46
89;853;144
90;290;103
91;239;50
92;221;43
93;197;37
94;173;53
95;371;110
96;998;174
97;169;35
98;401;94
99;100;22
100;643;118
101;78;22
102;66;18
103;81;19
104;56;11
105;78;16
106;51;9
107;287;87
108;50;9
109;73;14
110;89;22
111;55;13
112;59;12
113;59;15
114;58;12
115;72;19
116;234;86
117;58;17
118;42;9
119;41;10
120;69;24
121;31;9
122;54;12
123;48;15
124;38;10
125;167;77
126;40;11
127;56;13
128;85;15
129;59;13
130;70;21
131;41;10
132;49;12
133;44;13
134;258;84
135;45;13
136;50;11
137;47;10
138;34;9
139;47;9
140;49;13
141;37;12
142;32;7
143;156;67
144;26;9
145;64;18
146;198;24
147;127;24
148;122;31
149;38;10
150;146;39
151;171;22
152;104;49
153;31;12
154;38;10
155;26;11
156;32;9
157;27;11
158;39;9
159;27;7
160;148;58
161;77;44
162;29;10
163;34;9
164;31;8
165;29;9
166;35;8
167;42;14
168;32;10
169;49;23
170;67;32
171;24;11
172;34;11
173;33;11
174;29;14
175;20;7
176;52;20
177;23;9
178;26;11
179;155;71
180;108;18
181;98;9
182;33;13
183;19;9
184;18;6
185;25;10
186;39;12
187;77;48
188;27;10
189;37;10
190;29;10
191;16;12
192;34;10
193;27;11
194;25;7
195;19;6
196;50;26
197;19;8
198;60;11
199;43;8
200;106;53
201;32;17
202;53;27
203;24;11
204;46;8
205;72;28
206;47;12
207;19;8
208;26;12
209;24;10
210;37;17
211;19;10
212;28;17
213;22;14
214;49;33
215;24;9
216;19;8
217;102;28
218;19;9
219;18;9
220;17;12
221;12;6
222;18;9
223;105;49
224;19;11
225;22;13
226;26;11
227;30;8
228;18;12
229;19;7
230;28;16
231;27;9
232;37;25
233;24;11
234;80;8
235;19;10
236;10;6
237;13;6
238;18;10
239;14;9
240;20;12
241;27;20
242;14;9
243;14;6
244;22;12
245;17;11
246;17;10
247;17;9
248;14;6
249;14;8
250;48;27
251;16;6
252;28;14
253;17;8
254;20;8
255;17;13
256;22;9
257;12;5
258;20;10
259;17;14
260;28;13
261;17;7
262;11;7
263;20;11
264;23;11
265;46;8
266;13;6
267;31;9
268;40;28
269;8;6
270;16;7
271;9;5
272;13;6
273;8;5
274;10;5
275;21;11
276;11;7
277;17;13
278;5;4
279;9;6
280;37;10
281;4;3
282;8;4
283;9;8
284;5;4
285;12;7
286;23;18
287;10;6
288;12;8
289;5;4
290;10;7
291;9;7
292;8;6
293;6;4
294;12;8
295;12;9
296;5;5
297;7;4
298;11;7
299;6;3
300;57;41
301;21;11
302;20;13
303;12;7
304;16;11
305;9;5
306;7;5
307;9;6
308;20;14
309;21;12
310;15;13
311;9;6
312;132;27
313;9;6
314;13;5
315;9;8
316;4;4
317;11;8
318;10;6
319;4;3
320;6;5
321;8;5
322;6;5
323;6;5
324;5;3
325;7;5
326;8;6
327;14;8
328;9;5
329;15;7
330;9;7
331;9;7
332;11;5
333;12;8
334;12;7
335;7;6
336;12;6
337;8;6
338;5;5
339;4;4
340;14;9
341;14;6
342;5;4
343;10;4
344;9;5
345;7;7
346;6;5
347;6;5
348;4;4
349;8;7
350;25;14
351;7;5
352;13;7
353;18;13
354;11;5
355;9;8
356;13;8
357;9;7
358;17;12
359;1;1
360;31;10
361;7;4
362;13;6
363;5;2
364;8;6
365;9;6
366;10;6
367;10;9
368;11;4
369;9;6
370;5;5
371;6;5
372;3;3
373;15;10
374;4;4
375;1;1
376;6;5
377;7;6
378;2;2
379;2;2
380;4;3
381;10;5
382;3;3
383;6;5
384;5;4
385;4;2
386;11;7
387;7;6
388;7;4
389;5;3
390;7;7
391;7;3
392;9;8
393;39;23
394;6;5
395;5;3
396;9;6
397;9;5
398;6;3
399;10;7
400;43;31
401;13;12
402;12;7
403;5;5
404;9;5
405;5;4
406;5;4
407;5;4
408;2;2
409;5;4
410;5;5
411;7;6
412;4;3
413;5;3
414;4;4
415;4;4
416;5;5
417;5;5
418;4;3
419;4;4
420;11;9
421;9;7
422;13;7
423;9;8
424;10;8
425;6;4
426;1;1
427;15;10
428;2;2
429;10;8
430;10;6
431;2;2
432;5;4
433;2;2
434;3;3
435;19;8
436;10;3
437;7;4
438;21;9
439;2;2
440;6;3
441;3;2
442;6;3
443;2;2
444;5;4
445;7;6
446;7;4
447;12;11
448;4;4
449;3;3
450;8;7
451;5;4
452;4;4
453;6;6
454;6;5
455;3;3
456;9;9
457;8;6
458;4;4
459;4;3
460;1;1
461;2;2
462;7;3
463;10;7
464;3;3
465;14;11
466;4;4
467;2;2
468;1;1
469;4;3
470;5;4
471;8;4
472;3;3
473;4;3
474;5;5
475;6;4
476;6;4
477;5;4
478;2;2
